title,year,duration,rating
1. Les Évadés,1994,2h 22m,9.3
2. Le Parrain,1972,2h 55m,9.2
3. The Dark Knight : Le Chevalier noir,2008,2h 32m,9.0
"4. Le Parrain, 2ᵉ partie",1974,3h 22m,9.0
5. 12 Hommes en colère,1957,1h 36m,9.0
6. Le Seigneur des anneaux : Le Retour du roi,2003,3h 21m,9.0
7. La Liste de Schindler,1993,3h 15m,9.0
8. Pulp Fiction,1994,2h 34m,8.9
9. Le Seigneur des anneaux : La Communauté de l'anneau,2001,2h 58m,8.9
"10. Le Bon, la Brute et le Truand",1966,2h 41m,8.8
11. Forrest Gump,1994,2h 22m,8.8
12. Le Seigneur des anneaux : Les Deux Tours,2002,2h 59m,8.8
13. Fight Club,1999,2h 19m,8.8
14. Inception,2010,2h 28m,8.8
15. L'Empire contre-attaque,1980,2h 4m,8.7
16. Matrix,1999,2h 16m,8.7
17. Les Affranchis,1990,2h 25m,8.7
18. Vol au-dessus d'un nid de coucou,1975,2h 13m,8.7
19. Interstellar,2014,2h 49m,8.7
20. Seven,1995,2h 7m,8.6
21. La vie est belle,1946,2h 10m,8.6
22. Le Silence des agneaux,1991,1h 58m,8.6
23. Les 7 Samouraïs,1954,3h 27m,8.6
24. Il faut sauver le soldat Ryan,1998,2h 49m,8.6
25. La cité de Dieu,2002,2h 10m,8.6
