brand,name,price,rating
Absolute New York,Base Cobertura Total - Maple - Absolute New York,"R$ 56,90",0/5
Absolute New York,Base Cobertura Total - Tiramisu - Absolute New York,"R$ 56,90",0/5
Absolute New York,Base Cobertura Total - Truffle - Absolute New York,"R$ 56,90",0/5
Absolute New York,Base Cobertura Total - Mahogany - Absolute New York,"R$ 56,90",0/5
Absolute New York,Base Cobertura Total - Ganache - Absolute New York,"R$ 56,90",0/5
Absolute New York,Iluminador Glow in the City - New York Glow - Absolute New York,"R$ 112,90",0/5
Absolute New York,Iluminador Glow in the City - Big Apple Cheeks - Absolute New York,"R$ 112,90",0/5
Absolute New York,Pó Solto Skin Glow - Holo - Absolute New York,"R$ 75,90",0/5
Absolute New York,Pó Solto Skin Glow - Pêssego - Absolute New York,"R$ 75,90",0/5
Absolute New York,Pó Solto Skin Glow - Sol - Absolute New York,"R$ 75,90",0/5
Absolute New York,Pó Solto Skin Glow - Bronze - Absolute New York,"R$ 75,90",0/5
Absolute New York,Gloss Labial Lip Spark - Sunstone - Absolute New York,"R$ 61,90",0/5
Absolute New York,Gloss Labial Lip Spark - Spinel - Absolute New York,"R$ 61,90",0/5
Absolute New York,Gloss Labial Lip Spark - Ruby - Absolute New York,"R$ 61,90",0/5
Absolute New York,Gloss Labial Lip Spark - Cutrine - Absolute New York,"R$ 61,90",0/5
Absolute New York,Gloss Labial Lip Spark - Amber - Absolute New York,"R$ 61,90",0/5
Absolute New York,Gloss Labial Lip Spark - Rose Quartz - Absolute New York,"R$ 61,90",0/5
Absolute New York,Gloss Labial Lip Spark - Topaz - Absolute New York,"R$ 61,90",0/5
Absolute New York,Gloss Labial Lip Spark - Garnet - Absolute New York,"R$ 61,90",0/5
Absolute New York,Gloss Labial Lip Spark - Smokey Quartz - Absolute New York,"R$ 61,90",0/5
Absolute New York,Gloss Labial Lip Spark - Amethyst - Absolute New York,"R$ 61,90",0/5
Absolute New York,Caneta Batom Supreme Slim - In Blossom - Absolute New York,"R$ 35,90",0/5
Absolute New York,Caneta Batom Supreme Slim - Desert Iris - Absolute New York,"R$ 35,90",0/5
Absolute New York,Caneta Batom Supreme Slim - English Rose - Absolute New York,"R$ 35,90",0/5
